Postal Code,Unnamed: 0,Borough,Neighborhood,Latitude,Longitude
M3A,2,North York,Parkwoods,43.7532586,-79.3296565
M4A,3,North York,Victoria Village,43.725882299999995,-79.31557159999998
M5A,4,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
M6A,5,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
M7A,6,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
M9A,8,Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.53224240000002
M1B,9,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001
M3B,11,North York,Don Mills,43.745905799999996,-79.352188
M4B,12,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
M5B,13,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
M6B,14,North York,Glencairn,43.709577,-79.44507259999999
M9B,17,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001
M1C,18,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999
M3C,20,North York,Don Mills,43.72589970000001,-79.340923
M4C,21,East York,Woodbine Heights,43.695343900000005,-79.3183887
M5C,22,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M6C,23,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
M9C,26,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999
M1E,27,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
M4E,30,East Toronto,The Beaches,43.67635739999999,-79.2930312
M5E,31,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
M6E,32,York,Caledonia-Fairbanks,43.6890256,-79.453512
M1G,36,Scarborough,Woburn,43.7709921,-79.21691740000001
M4G,39,East York,Leaside,43.7090604,-79.3634517
M5G,40,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M6G,41,Downtown Toronto,Christie,43.669542,-79.4225637
M1H,45,Scarborough,Cedarbrae,43.773136,-79.23947609999999
M2H,46,North York,Hillcrest Village,43.8037622,-79.3634517
M3H,47,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
M4H,48,East York,Thorncliffe Park,43.7053689,-79.34937190000001
M5H,49,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675
M6H,50,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
M1J,54,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
M2J,55,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
M3J,56,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
M4J,57,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065
M5J,58,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
M6J,59,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
M1K,63,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
M2K,64,North York,Bayview Village,43.7869473,-79.385975
M3K,65,North York,Downsview,43.737473200000004,-79.46476329999999
M4K,66,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
M5K,67,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
M6K,68,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
M1L,72,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772
M2L,73,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999
M3L,74,North York,Downsview,43.7390146,-79.5069436
M4L,75,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
M5L,76,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
M6L,77,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738
M9L,80,North York,Humber Summit,43.7563033,-79.56596329999999
M1M,81,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999
M2M,82,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999
M3M,83,North York,Downsview,43.7284964,-79.49569740000001
M4M,84,East Toronto,Studio District,43.6595255,-79.340923
M5M,85,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
M6M,86,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999
M9M,89,North York,"Humberlea, Emery",43.7247659,-79.53224240000002
M1N,90,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
M2N,91,North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999999
M3N,92,North York,Downsview,43.7616313,-79.52099940000001
M4N,93,Central Toronto,Lawrence Park,43.7280205,-79.3887901
M5N,94,Central Toronto,Roselawn,43.7116948,-79.41693559999999
M6N,95,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001
M9N,98,York,Weston,43.706876,-79.51818840000001
M1P,99,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001
M2P,100,North York,York Mills West,43.752758299999996,-79.4000493
M4P,102,Central Toronto,Davisville North,43.7127511,-79.3901975
M5P,103,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000001
M6P,104,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
M9P,107,Etobicoke,Westmount,43.696319,-79.53224240000002
M1R,108,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491
M2R,109,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593
M4R,111,Central Toronto,"North Toronto West,  Lawrence Park",43.7153834,-79.40567840000001
M5R,112,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
M6R,113,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
M7R,114,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
M9R,116,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001
M1S,117,Scarborough,Agincourt,43.7942003,-79.26202940000002
M4S,120,Central Toronto,Davisville,43.7043244,-79.3887901
M5S,121,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
M6S,122,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
M1T,126,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
M4T,129,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
M5T,130,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
M1V,135,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
M4V,138,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
M5V,139,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
M8V,142,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001
M9V,143,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369
M1W,144,Scarborough,"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887
M4W,147,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
M5W,148,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
M8W,151,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
M9W,152,Etobicoke,"Northwest, West Humber - Clairville",43.706748299999994,-79.5940544
M1X,153,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
M4X,156,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
M5X,157,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
M8X,160,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436
M4Y,165,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
M7Y,168,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
M8Y,169,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999
M8Z,178,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001
